title,num_citations,year,excerpt,url,url_pdf,indicator,key_words,doi,authors,issued,abstract,link,is_referenced_by_count
Energy and carbon emission savings in Spanish housing air-conditioning using solar driven absorption system,124,2008.0,"… This paper aims to contribute to the development of techniques that reduce external electricity consumption for air conditioning in housings. For this goal, an experimental research has …",https://www.sciencedirect.com/science/article/pii/S135943110700381X,,0,"whole life carbon, heating ventilation and air conditioning",10.1016/j.applthermaleng.2007.11.013,M.C. Rodríguez Hidalgo; P. Rodríguez Aumente; M. Izquierdo Millán; A. Lecuona Neumann; R. Salgado Mangual,2008-10,,https://api.elsevier.com/content/article/PII:S135943110700381X?httpAccept=text/xml,78
"Principles of heating, ventilation, and air conditioning in buildings",193,2012.0,"… systems and components; comfort and air quality criteria; a … heating and cooling loads; an Equipment section on air and water distribution systems, heating and cooling coils, cooling …","https://books.google.com/books?hl=en&lr=&id=FQa1DwAAQBAJ&oi=fnd&pg=PR17&dq=whole+life+carbon,+heating+ventilation+and+air+conditioning&ots=jdQVUppgny&sig=8WpkVpDzA90bXNJBpeYntUZGkpw",,0,"whole life carbon, heating ventilation and air conditioning",10.4324/9780080951430-18,,2012-5-23,,,0
Comparative assessment of different air‐conditioning systems for nearly/net zero‐energy buildings,52,2020.0,"… cooling system is capable to satisfy around 10%-30% of total building thermal load,24, 25 therefore in our case the radiant system is handling 19% of total … of the radiant air-conditioning …",https://onlinelibrary.wiley.com/doi/abs/10.1002/er.5065,,0,"whole life carbon, heating ventilation and air conditioning",10.1002/er.5065,Gaurav Singh; Ranjan Das,2020-4,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/er.5065,44
"Heating, ventilating, and air conditioning: analysis and design",1863,2023.0,… The “luxury label” attached to air conditioning in earlier decades has given way to appreciation of its practicality in making our lives healthier and more productive. Along with rapid …,"https://books.google.com/books?hl=en&lr=&id=lxnREAAAQBAJ&oi=fnd&pg=PR11&dq=whole+life+carbon,+heating+ventilation+and+air+conditioning&ots=A74ycP1R6T&sig=Suih_3E-XkRllH673L2lbOJBg5M",,0,"whole life carbon, heating ventilation and air conditioning",10.2139/ssrn.4463204,Akhilesh K.B.; Sreelakshmi V.D.; Rincy N.A.; Ratheesh  Kumar C.S.; Anand Madhavan,2023,,,0
"Handbook of heating, ventilation, and air conditioning",188,2000.0,"… in the design and testing of automotive heating and air conditioning systems. … the life cycle of a building is the operation of its space conditioning systems — heating, ventilation, and air …",https://www.taylorfrancis.com/books/mono/10.1201/9781420036466/handbook-heating-ventilation-air-conditioning-jan-kreider,,0,"whole life carbon, heating ventilation and air conditioning",10.1201/9781420036466-8,,2000-12-26,,,0
"Heating, ventilation and air conditioning (HVAC) in intensive care unit",158,2020.0,"… guidelines on ‘heating, ventilation and air-conditioning (HVAC)’ system maintenance in the intensive care units, across the world, which is required to maintain good ‘indoor air quality’ …",https://link.springer.com/article/10.1186/s13054-020-02907-5,,0,"whole life carbon, heating ventilation and air conditioning",10.1186/s13054-020-02907-5,Sai Saran; Mohan Gurjar; Arvind Baronia; Vijayalakshmi Sivapurapu; Pralay S. Ghosh; Gautham M. Raju; Indubala Maurya,2020-5-6,"<jats:title>Abstract</jats:title><jats:p>The aim of this review is to describe variation in standards and guidelines on ‘heating, ventilation and air-conditioning (HVAC)’ system maintenance in the intensive care units, across the world, which is required to maintain good ‘indoor air quality’ as an important non-pharmacological strategy in preventing hospital-acquired infections. An online search and review of standards and guidelines published by various societies including American Institute of Architects (AIA), American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE), Centers for Disease Control and Prevention (CDC), Department of Health Estates and Facilities Division, Health Technical Memorandum 2025 (HTM) and Healthcare Infection Control Practices Advisory Committee (HICPAC) along with various national expert committee consensus statements, regional and hospital-based protocols available in a public domain were retrieved. Selected publications and textbooks describing HVAC structural aspects were also reviewed, and we described the basic structural details of HVAC system as well as variations in the practised standards of HVAC system in the ICU, worldwide. In summary, there is a need of universal standards for HVAC system with a specific mention on the type of ICU, which should be incorporated into existing infection control practice guidelines.</jats:p>",https://link.springer.com/content/pdf/10.1186/s13054-020-02907-5.pdf,93
"A review of heating, ventilation and air conditioning technologies and innovations used in solar-powered net zero energy Solar Decathlon houses",115,2019.0,"Innovations in Heating, Ventilation, and Air Conditioning (HVAC) systems are continuously required to provide a better, healthier and more productive and sustainable built environment …",https://www.sciencedirect.com/science/article/pii/S0959652619330288,,0,"whole life carbon, heating ventilation and air conditioning",10.1016/j.jclepro.2019.118158,Zhenjun Ma; Haoshan Ren; Wenye Lin,2019-12,,https://api.elsevier.com/content/article/PII:S0959652619330288?httpAccept=text/xml,77
Cradle to cradle building components via the cloud: a case study,8,2020.0,"… This paper expands upon ‘cradle to cradle carpets and cities’ presented by Ness and Field (Cradle to cradle carpets and cities. In Proceedings of SASBE 03, Brisbane, 2003) at SASBE …",https://link.springer.com/chapter/10.1007/978-3-030-37635-2_40,,0,"cradle to completion, building management system",10.1007/978-3-030-37635-2_40,David Ness; Ki Kim; John Swift; Adam Jenkins; Ke Xing; Nick Roach,2020,,http://link.springer.com/content/pdf/10.1007/978-3-030-37635-2_40,0
Cradle-to-cradle in building services,3,2019.0,"… small number of completed buildings – currently it is rather based on ‘informed guesses’. … C2C principles with wellestablished sustainability rating systems like LEED, BREEAM or DGNB…",https://iopscience.iop.org/article/10.1088/1755-1315/225/1/012013/meta,,0,"cradle to completion, building management system",10.1088/1755-1315/225/1/012013,K Jurkait; J Stiglmair,2019-2-24,,http://stacks.iop.org/1755-1315/225/i=1/a=012013/pdf,2
Developing A strategy for'living buildings': Beyond cradle to cradle with living building concept,11,2008.0,"… by stimulating innovation on sustainable construction with competition. … building or renovation of the building, it is better to concentrate on components rather than complete buildings. …",https://www.researchgate.net/profile/Ruben-Vrijhoef/publication/260343582_DEVELOPING_A_STRATEGY_FOR_%27LIVING_BUILDINGS%27_BEYOND_CRADLE_TO_CRADLE_WITH_LIVING_BUILDING_CONCEPT/links/0c96053be5f02b6de0000000/DEVELOPING-A-STRATEGY-FOR-LIVING-BUILDINGS-BEYOND-CRADLE-TO-CRADLE-WITH-LIVING-BUILDING-CONCEPT.pdf,http://scholar.google.com/https://www.researchgate.net/profile/Ruben-Vrijhoef/publication/260343582_DEVELOPING_A_STRATEGY_FOR_%27LIVING_BUILDINGS%27_BEYOND_CRADLE_TO_CRADLE_WITH_LIVING_BUILDING_CONCEPT/links/0c96053be5f02b6de0000000/DEVELOPING-A-STRATEGY-FOR-LIVING-BUILDINGS-BEYOND-CRADLE-TO-CRADLE-WITH-LIVING-BUILDING-CONCEPT.pdf,0,"cradle to completion, building management system",10.1037/e602632011-001,,2008,,,0
Life-cycle impact 'cradle to cradle'of building assemblies,28,2014.0,"This paper proposes an integrated approach for the evaluation of the equivalent cradle-to-cradle life-cycle impact of building assemblies, including the energy, environmental and …",https://www.icevirtuallibrary.com/doi/abs/10.1680/ensu.13.00005,,0,"cradle to completion, building management system",10.1680/ensu.13.00005,José Dinis Silvestre; Jorge de Brito; Manuel Duarte Pinheiro,2014-4,"<jats:p>This paper proposes an integrated approach for the evaluation of the equivalent cradle-to-cradle life-cycle impact of building assemblies, including the energy, environmental and economic impacts. The application of this approach is exemplified with external walls of buildings. This integrated approach follows European standards: environmental performance is evaluated following a life-cycle assessment methodology; energy performance is gauged by the consumption of energy for heating and cooling; and the economic module is based on the whole-life costing methodology. The use of an environmental impact assessment method that converts the results of impact categories into an economic unit allows the comparison and selection of alternatives through the addition of the energy, environmental and economic life-cycle costs. The main advantage of this approach is the simultaneous comparison of the energy, environmental and economic life-cycle performance of alternatives (that do not have to be functionally equivalent) without the need to change their characteristics to make them comparable.</jats:p>",https://www.icevirtuallibrary.com/doi/pdf/10.1680/ensu.13.00005,11
